OBEC,OKRES,KRAJ
Čehovice,Prostějov,"Olomoucký kraj"
Čejč,Hodonín,"Jihomoravský kraj"
Čejetice,Strakonice,"Jihočeský kraj"
Čejkovice,"České Budějovice","Jihočeský kraj"
Čejkovice,Hodonín,"Jihomoravský kraj"
Čejkovice,"Kutná Hora","Středočeský kraj"
Čejkovice,Znojmo,"Jihomoravský kraj"
Cejle,Jihlava,Vysočina
Čejov,Pelhřimov,Vysočina
Cekov,Rokycany,"Plzeňský kraj"
Čeladná,Frýdek-Místek,"Moravskoslezský kraj"
Čelákovice,Praha-východ,"Středočeský kraj"
Čelčice,Prostějov,"Olomoucký kraj"
"Čelechovice na Hané",Prostějov,"Olomoucký kraj"
Čelechovice,Přerov,"Olomoucký kraj"
Čelistná,Pelhřimov,Vysočina
Čeložnice,Hodonín,"Jihomoravský kraj"
Čeminy,Plzeň-sever,"Plzeňský kraj"
Čenkovice,"Ústí nad Orlicí","Pardubický kraj"
Čenkov,Příbram,"Středočeský kraj"
"Čenkov u Bechyně","České Budějovice","Jihočeský kraj"
Čeperka,Pardubice,"Pardubický kraj"
Čepí,Pardubice,"Pardubický kraj"
Cep,"Jindřichův Hradec","Jihočeský kraj"
Čepřovice,Strakonice,"Jihočeský kraj"
Čeradice,Louny,"Ústecký kraj"
Čerčany,Benešov,"Středočeský kraj"
"Cerekvice nad Bystřicí",Jičín,"Královéhradecký kraj"
"Cerekvice nad Loučnou",Svitavy,"Pardubický kraj"
"Cerekvička - Rosice",Jihlava,Vysočina
Cerhenice,Kolín,"Středočeský kraj"
Cerhonice,Písek,"Jihočeský kraj"
Cerhovice,Beroun,"Středočeský kraj"
Čermákovice,Znojmo,"Jihomoravský kraj"
Čermná,Domažlice,"Plzeňský kraj"
"Čermná nad Orlicí","Rychnov nad Kněžnou","Královéhradecký kraj"
Čermná,Trutnov,"Královéhradecký kraj"
"Čermná ve Slezsku",Opava,"Moravskoslezský kraj"
"Černá Hora",Blansko,"Jihomoravský kraj"
"Černá u Bohdanče",Pardubice,"Pardubický kraj"
Černava,"Karlovy Vary","Karlovarský kraj"
"Černá Voda",Jeseník,"Olomoucký kraj"
"Černá v Pošumaví","Český Krumlov","Jihočeský kraj"
Černá,"Žďár nad Sázavou",Vysočina
Černčice,Louny,"Ústecký kraj"
Černčice,Náchod,"Královéhradecký kraj"
Černěves,Litoměřice,"Ústecký kraj"
"Černé Voděrady",Praha-východ,"Středočeský kraj"
Černíč,Jihlava,Vysočina
Černíkovice,Plzeň-sever,"Plzeňský kraj"
Černíkovice,"Rychnov nad Kněžnou","Královéhradecký kraj"
Černíkov,Klatovy,"Plzeňský kraj"
Černíky,Nymburk,"Středočeský kraj"
Černilov,"Hradec Králové","Královéhradecký kraj"
Černíny,"Kutná Hora","Středočeský kraj"
Černín,Znojmo,"Jihomoravský kraj"
Černiv,Litoměřice,"Ústecký kraj"
Černolice,Praha-západ,"Středočeský kraj"
Černošice,Praha-západ,"Středočeský kraj"
Černošín,Tachov,"Plzeňský kraj"
Černotín,Přerov,"Olomoucký kraj"
Černouček,Litoměřice,"Ústecký kraj"
Černousy,Liberec,"Liberecký kraj"
Černovice,Blansko,"Jihomoravský kraj"
Černovice,Chomutov,"Ústecký kraj"
Černovice,Domažlice,"Plzeňský kraj"
Černovice,Pelhřimov,Vysočina
Čerňovice,Plzeň-sever,"Plzeňský kraj"
Černov,Pelhřimov,Vysočina
Černožice,"Hradec Králové","Královéhradecký kraj"
Černuc,Kladno,"Středočeský kraj"
Černvír,Brno-venkov,"Jihomoravský kraj"
"Černý Důl",Trutnov,"Královéhradecký kraj"
Černýšovice,Tábor,"Jihočeský kraj"
"Červená Hora",Náchod,"Královéhradecký kraj"
"Červená Lhota",Třebíč,Vysočina
"Červená Řečice",Pelhřimov,Vysočina
"Červená Třemešná",Jičín,"Královéhradecký kraj"
"Červená Voda","Ústí nad Orlicí","Pardubický kraj"
"Červené Janovice","Kutná Hora","Středočeský kraj"
"Červené Pečky",Kolín,"Středočeský kraj"
"Červené Poříčí",Klatovy,"Plzeňský kraj"
Červenka,Olomouc,"Olomoucký kraj"
"Červený Hrádek","Jindřichův Hradec","Jihočeský kraj"
"Červený Kostelec",Náchod,"Královéhradecký kraj"
"Červený Újezd",Benešov,"Středočeský kraj"
"Červený Újezd",Praha-západ,"Středočeský kraj"
"Česká Bělá","Havlíčkův Brod",Vysočina
"Česká Bříza",Plzeň-sever,"Plzeňský kraj"
Česká,Brno-venkov,"Jihomoravský kraj"
"Česká Čermná",Náchod,"Královéhradecký kraj"
"Česká Kamenice",Děčín,"Ústecký kraj"
"Česká Kubice",Domažlice,"Plzeňský kraj"
"Česká Lípa","Česká Lípa","Liberecký kraj"
"Česká Metuje",Náchod,"Královéhradecký kraj"
"Česká Rybná","Ústí nad Orlicí","Pardubický kraj"
"Česká Skalice",Náchod,"Královéhradecký kraj"
"Česká Třebová","Ústí nad Orlicí","Pardubický kraj"
"Česká Ves",Jeseník,"Olomoucký kraj"
"České Budějovice","České Budějovice","Jihočeský kraj"
"České Heřmanice","Ústí nad Orlicí","Pardubický kraj"
"České Lhotice",Chrudim,"Pardubický kraj"
"České Libchavy","Ústí nad Orlicí","Pardubický kraj"
"České Meziříčí","Rychnov nad Kněžnou","Královéhradecký kraj"
"České Petrovice","Ústí nad Orlicí","Pardubický kraj"
"České Velenice","Jindřichův Hradec","Jihočeský kraj"
"Český Brod",Kolín,"Středočeský kraj"
"Český Dub",Liberec,"Liberecký kraj"
"Český Jiřetín",Most,"Ústecký kraj"
"Český Krumlov","Český Krumlov","Jihočeský kraj"
"Český Rudolec","Jindřichův Hradec","Jihočeský kraj"
"Český Šternberk",Benešov,"Středočeský kraj"
"Český Těšín",Karviná,"Moravskoslezský kraj"
Češov,Jičín,"Královéhradecký kraj"
Čestice,"Rychnov nad Kněžnou","Královéhradecký kraj"
Čestice,Strakonice,"Jihočeský kraj"
Čestín,"Kutná Hora","Středočeský kraj"
Čestlice,Praha-východ,"Středočeský kraj"
Cetechovice,Kroměříž,"Zlínský kraj"
Cetenov,Liberec,"Liberecký kraj"
Cetkovice,Blansko,"Jihomoravský kraj"
Cetoraz,Pelhřimov,Vysočina
Cetyně,Příbram,"Středočeský kraj"
Chabařovice,"Ústí nad Labem","Ústecký kraj"
Chabeřice,"Kutná Hora","Středočeský kraj"
Chaloupky,Beroun,"Středočeský kraj"
Chanovice,Klatovy,"Plzeňský kraj"
Chářovice,Benešov,"Středočeský kraj"
Charvatce,"Mladá Boleslav","Středočeský kraj"
Charváty,Olomouc,"Olomoucký kraj"
Chbany,Chomutov,"Ústecký kraj"
Cheb,Cheb,"Karlovarský kraj"
Chelčice,Strakonice,"Jihočeský kraj"
Cheznovice,Rokycany,"Plzeňský kraj"
Chlebičov,Opava,"Moravskoslezský kraj"
Chleby,Benešov,"Středočeský kraj"
Chleby,Nymburk,"Středočeský kraj"
Chleny,"Rychnov nad Kněžnou","Královéhradecký kraj"
Chlístov,Benešov,"Středočeský kraj"
Chlístovice,"Kutná Hora","Středočeský kraj"
Chlístov,Klatovy,"Plzeňský kraj"
Chlístov,"Rychnov nad Kněžnou","Královéhradecký kraj"
Chlístov,Třebíč,Vysočina
Chlumany,Prachatice,"Jihočeský kraj"
Chlum,Benešov,"Středočeský kraj"
Chlumčany,Louny,"Ústecký kraj"
Chlumčany,Plzeň-jih,"Plzeňský kraj"
Chlum,"Česká Lípa","Liberecký kraj"
Chlumec,"Český Krumlov","Jihočeský kraj"
"Chlumec nad Cidlinou","Hradec Králové","Královéhradecký kraj"
Chlumec,"Ústí nad Labem","Ústecký kraj"
Chlumek,"Žďár nad Sázavou",Vysočina
Chlumětín,"Žďár nad Sázavou",Vysočina
Chlumín,Mělník,"Středočeský kraj"
Chlum-Korouhvice,"Žďár nad Sázavou",Vysočina
Chlum,Plzeň-jih,"Plzeňský kraj"
Chlum,Rokycany,"Plzeňský kraj"
Chlum,Strakonice,"Jihočeský kraj"
"Chlum Svaté Maří",Sokolov,"Karlovarský kraj"
Chlum,Třebíč,Vysočina
"Chlum u Třeboně","Jindřichův Hradec","Jihočeský kraj"
Chlumy,Plzeň-jih,"Plzeňský kraj"
Chlustina,Beroun,"Středočeský kraj"
Chmelík,Svitavy,"Pardubický kraj"
Chmelná,Benešov,"Středočeský kraj"
Chobot,Strakonice,"Jihočeský kraj"
Chocenice,Plzeň-jih,"Plzeňský kraj"
Choceň,"Ústí nad Orlicí","Pardubický kraj"
Chocerady,Benešov,"Středočeský kraj"
Chocnějovice,"Mladá Boleslav","Středočeský kraj"
Chocomyšl,Domažlice,"Plzeňský kraj"
Chodouň,Beroun,"Středočeský kraj"
Chodouny,Litoměřice,"Ústecký kraj"
"Chodová Planá",Tachov,"Plzeňský kraj"
Chodov,Domažlice,"Plzeňský kraj"
Chodov,"Karlovy Vary","Karlovarský kraj"
Chodovlice,Litoměřice,"Ústecký kraj"
Chodov,Sokolov,"Karlovarský kraj"
"Chodská Lhota",Domažlice,"Plzeňský kraj"
"Chodský Újezd",Tachov,"Plzeňský kraj"
Cholenice,Jičín,"Královéhradecký kraj"
Cholina,Olomouc,"Olomoucký kraj"
Choltice,Pardubice,"Pardubický kraj"
Chomle,Rokycany,"Plzeňský kraj"
Chomutice,Jičín,"Královéhradecký kraj"
Chomutov,Chomutov,"Ústecký kraj"
Chomýž,Kroměříž,"Zlínský kraj"
Choratice,Benešov,"Středočeský kraj"
Chornice,Svitavy,"Pardubický kraj"
Chorušice,Mělník,"Středočeský kraj"
Choryně,Vsetín,"Zlínský kraj"
Choťánky,Nymburk,"Středočeský kraj"
Chotěboř,"Havlíčkův Brod",Vysočina
Chotěbudice,Třebíč,Vysočina
Chotěbuz,Karviná,"Moravskoslezský kraj"
Choteč,Jičín,"Královéhradecký kraj"
Choteč,Pardubice,"Pardubický kraj"
Choteč,Praha-západ,"Středočeský kraj"
Chotěmice,Tábor,"Jihočeský kraj"
Chotěnov,Svitavy,"Pardubický kraj"
Chotěšice,Nymburk,"Středočeský kraj"
Chotěšov,Litoměřice,"Ústecký kraj"
Chotěšov,Plzeň-jih,"Plzeňský kraj"
Chotětov,"Mladá Boleslav","Středočeský kraj"
Chotěvice,Trutnov,"Královéhradecký kraj"
Chotíkov,Plzeň-sever,"Plzeňský kraj"
Chotilsko,Příbram,"Středočeský kraj"
Chotiměř,Litoměřice,"Ústecký kraj"
Chotiněves,Litoměřice,"Ústecký kraj"
Chotovice,"Česká Lípa","Liberecký kraj"
Choťovice,Kolín,"Středočeský kraj"
Chotovice,Svitavy,"Pardubický kraj"
Chotoviny,Tábor,"Jihočeský kraj"
Chotusice,"Kutná Hora","Středočeský kraj"
Chotutice,Kolín,"Středočeský kraj"
Chotýčany,"České Budějovice","Jihočeský kraj"
Chotyně,Liberec,"Liberecký kraj"
Chotýšany,Benešov,"Středočeský kraj"
"Choustníkovo Hradiště",Trutnov,"Královéhradecký kraj"
Choustník,Tábor,"Jihočeský kraj"
Chožov,Louny,"Ústecký kraj"
Chraberce,Louny,"Ústecký kraj"
Chrášťany,Benešov,"Středočeský kraj"
Chrášťany,"České Budějovice","Jihočeský kraj"
Chrášťany,Kolín,"Středočeský kraj"
Chrášťany,Praha-západ,"Středočeský kraj"
Chrášťany,Rakovník,"Středočeský kraj"
Chrastava,Liberec,"Liberecký kraj"
Chrastavec,Svitavy,"Pardubický kraj"
Chrastavice,Domažlice,"Plzeňský kraj"
Chrast,Chrudim,"Pardubický kraj"
Chraštice,Příbram,"Středočeský kraj"
Chrást,Nymburk,"Středočeský kraj"
Chrášťovice,Strakonice,"Jihočeský kraj"
Chrást,Plzeň-město,"Plzeňský kraj"
Chrást,Příbram,"Středočeský kraj"
Chrbonín,Tábor,"Jihočeský kraj"
Chřenovice,"Havlíčkův Brod",Vysočina
Chřibská,Děčín,"Ústecký kraj"
Chříč,Plzeň-sever,"Plzeňský kraj"
Chroboly,Prachatice,"Jihočeský kraj"
Chromeč,Šumperk,"Olomoucký kraj"
Chropyně,Kroměříž,"Zlínský kraj"
Chroustovice,Chrudim,"Pardubický kraj"
Chroustov,Nymburk,"Středočeský kraj"
Chrtníč,"Havlíčkův Brod",Vysočina
Chrtníky,Pardubice,"Pardubický kraj"
Chrudichromy,Blansko,"Jihomoravský kraj"
Chrudim,Chrudim,"Pardubický kraj"
Chrustenice,Beroun,"Středočeský kraj"
Chržín,Kladno,"Středočeský kraj"
Chuchelná,Opava,"Moravskoslezský kraj"
Chuchelna,Semily,"Liberecký kraj"
Chudčice,Brno-venkov,"Jihomoravský kraj"
Chudenice,Klatovy,"Plzeňský kraj"
Chudenín,Klatovy,"Plzeňský kraj"
Chudeřice,"Hradec Králové","Královéhradecký kraj"
Chuderov,"Ústí nad Labem","Ústecký kraj"
Chudíř,"Mladá Boleslav","Středočeský kraj"
Chudoslavice,Litoměřice,"Ústecký kraj"
Chvalatice,Znojmo,"Jihomoravský kraj"
Chvalčov,Kroměříž,"Zlínský kraj"
Chvaleč,Trutnov,"Královéhradecký kraj"
Chválenice,Plzeň-město,"Plzeňský kraj"
Chvaletice,Pardubice,"Pardubický kraj"
Chvalíkovice,Opava,"Moravskoslezský kraj"
Chvalkovice,Náchod,"Královéhradecký kraj"
Chvalkovice,Vyškov,"Jihomoravský kraj"
Chvalnov-Lísky,Kroměříž,"Zlínský kraj"
Chvalovice,Prachatice,"Jihočeský kraj"
Chvalovice,Znojmo,"Jihomoravský kraj"
Chvalšiny,"Český Krumlov","Jihočeský kraj"
Chvatěruby,Mělník,"Středočeský kraj"
Chvojenec,Pardubice,"Pardubický kraj"
Chyjice,Jičín,"Královéhradecký kraj"
Chyňava,Beroun,"Středočeský kraj"
Chýně,Praha-západ,"Středočeský kraj"
Chýnice,Praha-západ,"Středočeský kraj"
Chýnov,Tábor,"Jihočeský kraj"
Chyše,"Karlovy Vary","Karlovarský kraj"
Chyšky,Písek,"Jihočeský kraj"
Chyšná,Pelhřimov,Vysočina
Chýstovice,Pelhřimov,Vysočina
Chýšť,Pardubice,"Pardubický kraj"
Číčenice,Strakonice,"Jihočeský kraj"
Čichalov,"Karlovy Vary","Karlovarský kraj"
Číchov,Třebíč,Vysočina
Číčovice,Praha-západ,"Středočeský kraj"
Cidlina,Třebíč,Vysočina
Číhalín,Třebíč,Vysočina
Číhaň,Klatovy,"Plzeňský kraj"
Číhošť,"Havlíčkův Brod",Vysočina
Cikháj,"Žďár nad Sázavou",Vysočina
Čikov,Třebíč,Vysočina
Čilá,Rokycany,"Plzeňský kraj"
Čilec,Nymburk,"Středočeský kraj"
Čimelice,Písek,"Jihočeský kraj"
Číměř,"Jindřichův Hradec","Jihočeský kraj"
Číměř,Třebíč,Vysočina
Čimice,Klatovy,"Plzeňský kraj"
Čím,Příbram,"Středočeský kraj"
Činěves,Nymburk,"Středočeský kraj"
Církvice,Kolín,"Středočeský kraj"
Církvice,"Kutná Hora","Středočeský kraj"
Císařov,Přerov,"Olomoucký kraj"
Čisovice,Praha-západ,"Středočeský kraj"
Čistá,"Mladá Boleslav","Středočeský kraj"
Čistá,Rakovník,"Středočeský kraj"
Čistá,Svitavy,"Pardubický kraj"
"Čistá u Horek",Semily,"Liberecký kraj"
Číštěves,"Hradec Králové","Královéhradecký kraj"
Citice,Sokolov,"Karlovarský kraj"
Cítoliby,Louny,"Ústecký kraj"
Citonice,Znojmo,"Jihomoravský kraj"
Cítov,Mělník,"Středočeský kraj"
Citov,Přerov,"Olomoucký kraj"
Čižice,Plzeň-jih,"Plzeňský kraj"
Čížkovice,Litoměřice,"Ústecký kraj"
Čížkov,Pelhřimov,Vysočina
Čížkov,Plzeň-jih,"Plzeňský kraj"
Čížkrajice,"České Budějovice","Jihočeský kraj"
Cizkrajov,"Jindřichův Hradec","Jihočeský kraj"
Čížová,Písek,"Jihočeský kraj"
Čížov,Jihlava,Vysočina
Čkyně,Prachatice,"Jihočeský kraj"
Člunek,"Jindřichův Hradec","Jihočeský kraj"
Čmelíny,Plzeň-jih,"Plzeňský kraj"
Cotkytle,"Ústí nad Orlicí","Pardubický kraj"
Crhov,Blansko,"Jihomoravský kraj"
Ctětín,Chrudim,"Pardubický kraj"
Ctiboř,Benešov,"Středočeský kraj"
Ctiboř,Tachov,"Plzeňský kraj"
Ctidružice,Znojmo,"Jihomoravský kraj"
Ctiměřice,"Mladá Boleslav","Středočeský kraj"
Ctiněves,Litoměřice,"Ústecký kraj"
Čtveřín,Liberec,"Liberecký kraj"
Čtyřkoly,Benešov,"Středočeský kraj"
Čučice,Brno-venkov,"Jihomoravský kraj"
Cvikov,"Česká Lípa","Liberecký kraj"
Cvrčovice,Brno-venkov,"Jihomoravský kraj"
Cvrčovice,Kladno,"Středočeský kraj"
Dačice,"Jindřichův Hradec","Jihočeský kraj"
Dalečín,"Žďár nad Sázavou",Vysočina
"Daleké Dušníky",Příbram,"Středočeský kraj"
Dalešice,"Jablonec nad Nisou","Liberecký kraj"
Dalešice,Třebíč,Vysočina
Dalovice,"Karlovy Vary","Karlovarský kraj"
Dalovice,"Mladá Boleslav","Středočeský kraj"
Dambořice,Hodonín,"Jihomoravský kraj"
Damnice,Znojmo,"Jihomoravský kraj"
Damníkov,"Ústí nad Orlicí","Pardubický kraj"
Daňkovice,"Žďár nad Sázavou",Vysočina
Darkovice,Opava,"Moravskoslezský kraj"
Dašice,Pardubice,"Pardubický kraj"
Daskabát,Olomouc,"Olomoucký kraj"
Dasnice,Sokolov,"Karlovarský kraj"
Dasný,"České Budějovice","Jihočeský kraj"
Davle,Praha-západ,"Středočeský kraj"
Deblín,Brno-venkov,"Jihomoravský kraj"
Děčany,Litoměřice,"Ústecký kraj"
Děčín,Děčín,"Ústecký kraj"
Dědice,Třebíč,Vysočina
Dědová,Chrudim,"Pardubický kraj"
Dehtáře,Pelhřimov,Vysočina
Děhylov,Opava,"Moravskoslezský kraj"
Děkanovice,Benešov,"Středočeský kraj"
Děkov,Rakovník,"Středočeský kraj"
Děpoltovice,"Karlovy Vary","Karlovarský kraj"
Dešenice,Klatovy,"Plzeňský kraj"
Desná,"Jablonec nad Nisou","Liberecký kraj"
Dešná,"Jindřichův Hradec","Jihočeský kraj"
Desná,Svitavy,"Pardubický kraj"
Dešná,Zlín,"Zlínský kraj"
Dešov,Třebíč,Vysočina
Deštná,Blansko,"Jihomoravský kraj"
Deštná,"Jindřichův Hradec","Jihočeský kraj"
"Deštné v Orlických horách","Rychnov nad Kněžnou","Královéhradecký kraj"
Deštnice,Louny,"Ústecký kraj"
Dětenice,Jičín,"Královéhradecký kraj"
Dětkovice,Prostějov,"Olomoucký kraj"
Dětkovice,Vyškov,"Jihomoravský kraj"
Dětmarovice,Karviná,"Moravskoslezský kraj"
Dětřichov,Liberec,"Liberecký kraj"
"Dětřichov nad Bystřicí",Bruntál,"Moravskoslezský kraj"
Dětřichov,Svitavy,"Pardubický kraj"
"Dětřichov u Moravské Třebové",Svitavy,"Pardubický kraj"
Dílce,Jičín,"Královéhradecký kraj"
Díly,Domažlice,"Plzeňský kraj"
Dírná,Tábor,"Jihočeský kraj"
Diváky,Břeclav,"Jihomoravský kraj"
Dívčice,"České Budějovice","Jihočeský kraj"
"Dívčí Hrad",Bruntál,"Moravskoslezský kraj"
"Dívčí Kopy","Jindřichův Hradec","Jihočeský kraj"
Divec,"Hradec Králové","Královéhradecký kraj"
Divišov,Benešov,"Středočeský kraj"
Dlažkovice,Litoměřice,"Ústecký kraj"
Dlažov,Klatovy,"Plzeňský kraj"
"Dlouhá Brtnice",Jihlava,Vysočina
"Dlouhá Lhota",Blansko,"Jihomoravský kraj"
"Dlouhá Lhota","Mladá Boleslav","Středočeský kraj"
"Dlouhá Lhota",Příbram,"Středočeský kraj"
"Dlouhá Lhota",Tábor,"Jihočeský kraj"
"Dlouhá Loučka",Olomouc,"Olomoucký kraj"
"Dlouhá Loučka",Svitavy,"Pardubický kraj"
"Dlouhá Stráň",Bruntál,"Moravskoslezský kraj"
"Dlouhá Třebová","Ústí nad Orlicí","Pardubický kraj"
"Dlouhá Ves","Havlíčkův Brod",Vysočina
"Dlouhá Ves",Klatovy,"Plzeňský kraj"
Dlouhé,"Žďár nad Sázavou",Vysočina
Dlouhomilov,Šumperk,"Olomoucký kraj"
Dlouhoňovice,"Ústí nad Orlicí","Pardubický kraj"
Dlouhopolsko,Nymburk,"Středočeský kraj"
"Dlouhý Most",Liberec,"Liberecký kraj"
"Dlouhý Újezd",Tachov,"Plzeňský kraj"
Dnešice,Plzeň-jih,"Plzeňský kraj"
Dobelice,Znojmo,"Jihomoravský kraj"
Dobev,Písek,"Jihočeský kraj"
Dobkovice,Děčín,"Ústecký kraj"
Dobrá,Frýdek-Místek,"Moravskoslezský kraj"
Dobřany,Plzeň-jih,"Plzeňský kraj"
Dobřany,"Rychnov nad Kněžnou","Královéhradecký kraj"
Dobratice,Frýdek-Místek,"Moravskoslezský kraj"
"Dobrá Voda",Pelhřimov,Vysočina
"Dobrá Voda u Českých Budějovic","České Budějovice","Jihočeský kraj"
"Dobrá Voda u Hořic",Jičín,"Královéhradecký kraj"
"Dobrá Voda u Pacova",Pelhřimov,Vysočina
"Dobrá Voda","Žďár nad Sázavou",Vysočina
Dobrčice,Přerov,"Olomoucký kraj"
Dobřejovice,Praha-východ,"Středočeský kraj"
Dobřenice,"Hradec Králové","Královéhradecký kraj"
Dobřeň,Mělník,"Středočeský kraj"
"Dobré Pole",Břeclav,"Jihomoravský kraj"
Dobré,"Rychnov nad Kněžnou","Královéhradecký kraj"
Dobřichovice,Praha-západ,"Středočeský kraj"
Dobřichov,Kolín,"Středočeský kraj"
Dobříč,Plzeň-sever,"Plzeňský kraj"
Dobříč,Praha-západ,"Středočeský kraj"
Dobříkov,"Ústí nad Orlicí","Pardubický kraj"
Dobříň,Litoměřice,"Ústecký kraj"
Dobřínsko,Znojmo,"Jihomoravský kraj"
Dobříš,Příbram,"Středočeský kraj"
Dobřív,Rokycany,"Plzeňský kraj"
Dobrkovice,Zlín,"Zlínský kraj"
Dobrná,Děčín,"Ústecký kraj"
Dobrochov,Prostějov,"Olomoucký kraj"
Dobročkovice,Vyškov,"Jihomoravský kraj"
Dobročovice,Praha-východ,"Středočeský kraj"
Dobrohošť,"Jindřichův Hradec","Jihočeský kraj"
Dobroměřice,Louny,"Ústecký kraj"
Dobromilice,Prostějov,"Olomoucký kraj"
"Dobronice u Bechyně",Tábor,"Jihočeský kraj"
Dobronín,Jihlava,Vysočina
Dobroslavice,Opava,"Moravskoslezský kraj"
Dobroutov,Jihlava,Vysočina
Dobrovice,"Mladá Boleslav","Středočeský kraj"
Dobrovítov,"Kutná Hora","Středočeský kraj"
Dobrovíz,Praha-západ,"Středočeský kraj"
Dobršín,Klatovy,"Plzeňský kraj"
Dobruška,"Rychnov nad Kněžnou","Královéhradecký kraj"
Dobšice,"České Budějovice","Jihočeský kraj"
Dobšice,Nymburk,"Středočeský kraj"
Dobšice,Znojmo,"Jihomoravský kraj"
Dobšín,"Mladá Boleslav","Středočeský kraj"
Dohalice,"Hradec Králové","Královéhradecký kraj"
Doksany,Litoměřice,"Ústecký kraj"
Doksy,"Česká Lípa","Liberecký kraj"
Doksy,Kladno,"Středočeský kraj"
"Dolánky nad Ohří",Litoměřice,"Ústecký kraj"
Dolany,Kladno,"Středočeský kraj"
Dolany,Klatovy,"Plzeňský kraj"
Dolany,Mělník,"Středočeský kraj"
Dolany,Náchod,"Královéhradecký kraj"
Dolany,Olomouc,"Olomoucký kraj"
Dolany,Pardubice,"Pardubický kraj"
Dolany,Plzeň-sever,"Plzeňský kraj"
Dolce,Plzeň-jih,"Plzeňský kraj"
Dolenice,Znojmo,"Jihomoravský kraj"
"Dolní Bečva",Vsetín,"Zlínský kraj"
"Dolní Bělá",Plzeň-sever,"Plzeňský kraj"
"Dolní Benešov",Opava,"Moravskoslezský kraj"
"Dolní Beřkovice",Mělník,"Středočeský kraj"
"Dolní Bezděkov",Chrudim,"Pardubický kraj"
"Dolní Bojanovice",Hodonín,"Jihomoravský kraj"
"Dolní Bousov","Mladá Boleslav","Středočeský kraj"
"Dolní Branná",Trutnov,"Královéhradecký kraj"
"Dolní Břežany",Praha-západ,"Středočeský kraj"
"Dolní Brusnice",Trutnov,"Královéhradecký kraj"
"Dolní Bukovsko","České Budějovice","Jihočeský kraj"
"Dolní Cerekev",Jihlava,Vysočina
"Dolní Čermná","Ústí nad Orlicí","Pardubický kraj"
"Dolní Chvatliny",Kolín,"Středočeský kraj"
"Dolní Dobrouč","Ústí nad Orlicí","Pardubický kraj"
"Dolní Domaslavice",Frýdek-Místek,"Moravskoslezský kraj"
"Dolní Dubňany",Znojmo,"Jihomoravský kraj"
"Dolní Dunajovice",Břeclav,"Jihomoravský kraj"
"Dolní Dvořiště","Český Krumlov","Jihočeský kraj"
"Dolní Dvůr",Trutnov,"Královéhradecký kraj"
"Dolní Habartice",Děčín,"Ústecký kraj"
"Dolní Hbity",Příbram,"Středočeský kraj"
"Dolní Heřmanice","Žďár nad Sázavou",Vysočina
"Dolní Hořice",Tábor,"Jihočeský kraj"
